date,team1,team2,team1Score,team2Score,win,points
27/09/2022,Po Post Raiders,Nighthawks,4,2,w,3
04/10/2022,Po Post Raiders,Woodlands Warriors,4,2,w,3
11/10/2022,Po Post Raiders,Chalveden Musthangs,3,3,d,1
25/10/2022,Po Post Raiders,Fryerns Bandits,2,4,l,0
01/11/2022,Po Post Raiders,Gillys Drunks,3,3,d,1
08/11/2022,Po Post Raiders,Wickford Rail 2000,3,3,d,1
22/11/2022,Po Post Raiders,Patriots,3,3,d,1
28/03/2023,Po Post Raiders,Woodlands Assassins,3,3,d,1
06/12/2022,Po Post Raiders,Club Bar Fb's,3,3,d,1
10/01/2023,Po Post Raiders,Woodlands Assassins,3,3,d,1
17/01/2023,Po Post Raiders,Nighthawks,3,3,d,1
24/01/2023,Po Post Raiders,Woodlands Warriors,1,5,l,0
07/02/2023,Po Post Raiders,Chalveden Musthangs,1,5,l,0
14/02/2023,Po Post Raiders,Fryerns Bandits,1,5,l,0
21/02/2023,Po Post Raiders,Gillys Drunks,2,4,l,0
07/03/2023,Po Post Raiders,Wickford Rail 2000,0,6,l,0
14/03/2023,Po Post Raiders,Patriots,2,4,l,0
21/03/2023,Po Post Raiders,Club Bar Fb's,2,4,l,0
